Date,Open,High,Low,Close,Adj Close,Volume
2023-08-25,43.730000,44.349998,43.380001,43.590000,42.633911,7250700
2023-08-28,43.889999,44.049999,43.549999,43.869999,42.907772,4203100
2023-08-29,44.009998,44.700001,43.919998,44.320000,43.347900,4135100
2023-08-30,44.320000,44.869999,44.259998,44.750000,43.768471,3595300
2023-08-31,44.599998,45.340000,44.549999,44.779999,44.043861,7844400
2023-09-01,45.209999,45.540001,44.869999,45.099998,44.358604,4176400
2023-09-05,44.880001,44.880001,44.040001,44.290001,43.561920,5668100
2023-09-06,44.169998,44.320000,43.430000,44.119999,43.394714,4617300
2023-09-07,43.639999,43.709999,42.810001,43.119999,42.411152,5296000
2023-09-08,42.919998,43.480000,42.840000,43.430000,42.716057,4208600
2023-09-11,43.700001,43.939999,43.430000,43.509998,42.794743,3848800
2023-09-12,43.400002,43.980000,43.320000,43.509998,42.794743,4788300
2023-09-13,43.689999,43.970001,43.430000,43.709999,42.991455,3583700
2023-09-14,43.970001,44.459999,43.720001,44.360001,43.630772,4078400
2023-09-15,44.459999,44.799999,44.270000,44.560001,43.827484,7598200
2023-09-18,44.340000,44.459999,43.810001,43.910000,43.188168,4580500
2023-09-19,43.630001,44.090000,43.419998,43.619999,42.902935,4308500
2023-09-20,43.740002,44.540001,43.669998,43.689999,42.971783,4127600
2023-09-21,43.380001,45.209999,42.849998,43.919998,43.197998,13887000
2023-09-22,44.230000,44.840000,43.000000,43.130001,42.420990,8277900
2023-09-25,42.849998,43.930000,42.570000,43.820000,43.099644,3948800
2023-09-26,43.549999,44.240002,43.389999,43.490002,42.775070,5353400
2023-09-27,43.560001,43.759998,42.410000,42.889999,42.184937,5225600
2023-09-28,42.730000,43.889999,42.720001,43.650002,42.932442,4114900
2023-09-29,44.090000,44.599998,43.910000,44.090000,43.365208,4792900
2023-10-02,43.910000,44.040001,43.310001,43.549999,42.834084,3622900
2023-10-03,43.230000,43.750000,42.349998,42.509998,41.811176,3673200
2023-10-04,42.560001,43.070000,42.540001,42.939999,42.234112,3875300
2023-10-05,43.090000,43.130001,42.119999,42.610001,41.909538,4116500
2023-10-06,42.220001,43.330002,42.220001,43.009998,42.302959,4459000
2023-10-09,42.639999,43.639999,42.639999,43.349998,42.637375,4220200
2023-10-10,43.480000,43.820000,43.270000,43.520000,42.804581,5265000
2023-10-11,43.509998,43.660000,42.779999,43.049999,42.342304,7473700
2023-10-12,43.130001,43.130001,42.000000,42.630001,41.929211,5200500
2023-10-13,42.540001,42.610001,41.270000,41.790001,41.103020,7025700
2023-10-16,42.139999,42.619999,41.880001,42.470001,41.771839,4359900
2023-10-17,42.029999,42.840000,41.930000,42.560001,41.860363,3584600
