Date,Open,High,Low,Close,Adj Close,Volume
2023-08-25,62.480000,62.740002,61.700001,62.410000,60.418919,2109500
2023-08-28,62.500000,62.990002,62.330002,62.529999,60.535088,2134600
2023-08-29,62.770000,63.139999,62.330002,62.849998,60.844883,2834700
2023-08-30,63.049999,63.410000,62.770000,62.939999,60.932011,2343500
2023-08-31,63.130001,63.490002,62.820000,63.340000,61.319248,4953500
2023-09-01,63.799999,64.559998,63.799999,64.300003,62.248627,3087100
2023-09-05,64.300003,64.860001,63.750000,63.770000,61.735531,3978900
2023-09-06,63.360001,63.869999,62.919998,63.200001,61.183720,3028200
2023-09-07,62.950001,63.500000,62.500000,62.770000,60.767437,3155400
2023-09-08,62.720001,63.669998,62.549999,63.310001,61.290207,2821300
2023-09-11,63.669998,64.230003,63.240002,63.400002,61.377338,2188200
2023-09-12,63.529999,64.599998,63.430000,63.990002,61.948517,3328300
2023-09-13,64.209999,64.440002,63.520000,63.790001,61.754894,4550200
2023-09-14,65.099998,65.970001,64.730003,65.930000,63.826622,4939900
2023-09-15,65.370003,66.180000,65.330002,65.650002,63.555557,7679900
2023-09-18,65.650002,66.379997,65.160004,66.300003,64.184814,3644800
2023-09-19,66.500000,66.820000,65.900002,66.360001,64.242905,3331100
2023-09-20,66.660004,66.980003,66.070000,66.089996,63.981510,4142500
2023-09-21,65.860001,65.870003,64.470001,64.690002,62.626186,4891400
2023-09-22,64.690002,65.339996,64.330002,64.419998,62.364796,2492900
2023-09-25,64.120003,65.070000,64.019997,65.050003,62.974701,2335700
2023-09-26,64.550003,65.050003,63.040001,63.060001,61.048183,5531000
2023-09-27,63.180000,63.369999,62.049999,62.799999,60.796474,7114600
2023-09-28,62.669998,63.330002,62.639999,62.900002,60.893291,3483700
2023-09-29,63.090000,63.619999,62.709999,62.910000,60.902969,3330500
2023-10-02,62.480000,62.759998,61.189999,61.689999,59.721893,3259500
2023-10-03,61.090000,61.299999,59.709999,60.259998,58.337509,3797500
2023-10-04,60.160000,60.259998,58.990002,60.000000,58.085808,3456700
2023-10-05,59.490002,60.450001,59.439999,60.290001,58.366558,3632300
2023-10-06,59.820000,61.619999,59.570000,61.320000,59.363693,3938400
2023-10-09,61.029999,61.980000,60.950001,61.900002,59.925198,3180900
2023-10-10,62.000000,62.869999,62.000000,62.180000,60.196259,3089900
2023-10-11,62.529999,63.150002,62.080002,62.849998,60.844883,3143000
2023-10-12,63.099998,63.160000,61.820000,62.480000,60.486691,2617200
2023-10-13,63.130001,63.619999,61.919998,62.060001,60.080093,3012900
2023-10-16,62.740002,63.980000,62.450001,63.349998,61.328930,2619900
2023-10-17,62.970001,64.709999,62.970001,63.939999,61.900108,4090700
2023-10-18,63.439999,63.669998,62.639999,63.080002,61.067547,2979600
2023-10-19,62.930000,63.279999,61.680000,61.919998,59.944553,3990600
2023-10-20,61.840000,61.930000,59.730000,60.119999,58.201981,4589600
2023-10-23,59.930000,59.990002,58.439999,58.490002,56.623985,8494700
2023-10-24,58.779999,59.310001,58.630001,59.209999,57.321014,5061800
2023-10-25,59.290001,59.770000,58.709999,58.959999,57.078987,3735500
2023-10-26,58.970001,60.009998,58.939999,59.599998,57.698570,3139400
2023-10-27,59.540001,59.740002,57.910000,58.290001,56.430363,4686900
2023-10-30,58.939999,59.639999,58.480000,59.419998,57.524311,3133600
2023-10-31,59.599998,60.070000,59.240002,60.009998,58.095486,2713000
2023-11-01,60.000000,60.340000,59.180000,59.980000,58.066444,4322600
2023-11-02,59.990002,62.259998,59.200001,60.009998,58.095486,4566800
2023-11-03,61.110001,62.400002,61.110001,61.759998,59.789658,4119200
2023-11-06,61.750000,61.759998,59.750000,60.430000,58.502094,4459500
2023-11-07,60.150002,60.540001,59.720001,60.049999,58.134209,4113300
2023-11-08,59.480000,59.860001,58.889999,59.349998,57.958431,3597700
2023-11-09,59.740002,60.009998,59.240002,59.310001,57.919373,2781300
2023-11-10,59.720001,60.549999,59.450001,60.490002,59.071705,3183800
2023-11-13,60.290001,61.250000,60.259998,60.459999,59.042408,3473200
2023-11-14,61.220001,62.790001,61.160000,62.410000,60.946682,3880600
2023-11-15,62.570000,62.900002,61.740002,61.820000,60.370518,3187600
2023-11-16,61.700001,62.230000,61.610001,62.029999,60.575592,3748600
2023-11-17,62.500000,62.810001,62.250000,62.549999,61.083401,4120800
2023-11-20,62.200001,62.980000,61.849998,62.509998,61.044338,3471500
2023-11-21,62.330002,62.730000,62.139999,62.250000,60.790436,4447100
2023-11-22,62.360001,63.099998,62.150002,62.970001,61.493557,2614400
2023-11-24,63.189999,63.959999,63.130001,63.549999,62.059956,1614400
2023-11-27,63.279999,63.360001,62.810001,63.220001,61.737694,2903600
2023-11-28,63.180000,63.630001,62.889999,63.189999,61.708393,2833400
2023-11-29,63.470001,64.050003,63.139999,63.160000,61.679100,4413000
2023-11-30,63.330002,63.770000,63.020000,63.630001,62.138081,6240800
2023-12-01,63.389999,64.180000,63.270000,63.759998,62.265030,4229100
2023-12-04,63.330002,64.570000,63.070000,64.550003,63.036514,4201800
2023-12-05,64.129997,64.440002,63.860001,63.970001,62.470112,3112400
2023-12-06,64.250000,64.910004,63.400002,63.540001,62.050190,3185400
2023-12-07,63.689999,63.889999,63.189999,63.459999,61.972065,4924100
2023-12-08,63.480000,64.430000,63.369999,64.089996,62.587288,3317400
2023-12-11,64.269997,65.360001,64.169998,64.940002,63.417370,3424300
2023-12-12,65.040001,65.400002,64.820000,65.199997,63.671268,2902100
2023-12-13,65.199997,66.290001,64.959999,66.230003,64.677124,3961400
2023-12-14,67.000000,67.720001,66.739998,66.900002,65.331406,4340500
2023-12-15,66.360001,67.080002,66.019997,66.360001,64.804070,8619500
2023-12-18,66.699997,66.699997,64.970001,65.220001,63.690804,5875400
2023-12-19,65.419998,66.720001,65.279999,66.400002,64.843140,4354900
2023-12-20,65.959999,66.550003,65.169998,65.220001,63.690804,3491700
2023-12-21,65.309998,65.769997,65.120003,65.589996,64.052124,3018900
2023-12-22,65.660004,66.360001,65.550003,65.860001,64.315796,2553600
2023-12-26,65.809998,66.300003,65.660004,66.239998,64.686882,1641700
2023-12-27,65.930000,66.230003,65.620003,66.019997,64.472038,1702300
2023-12-28,65.820000,66.419998,65.820000,66.290001,64.735710,1546200
2023-12-29,66.300003,66.480003,65.879997,66.129997,64.579460,1789000
2024-01-02,66.190002,67.680000,66.129997,67.349998,65.770859,3913800
2024-01-03,66.900002,67.610001,66.550003,67.120003,65.546257,3471000
2024-01-04,67.139999,68.349998,67.139999,67.489998,65.907570,3234400
2024-01-05,67.480003,68.940002,67.349998,68.919998,67.304039,4089900
2024-01-08,69.000000,69.750000,68.820000,69.519997,67.889969,4609800
2024-01-09,69.010002,69.260002,68.290001,69.220001,67.597015,4806100
2024-01-10,69.400002,69.690002,68.900002,69.300003,67.675140,3268100
2024-01-11,69.099998,69.519997,68.730003,69.300003,67.675140,3505200
2024-01-12,69.680000,69.989998,68.779999,68.830002,67.216156,3566100
2024-01-16,68.150002,68.349998,67.480003,68.220001,66.620461,4068100
2024-01-17,67.769997,68.559998,67.279999,67.410004,65.829460,3556100
2024-01-18,67.410004,67.879997,67.209999,67.720001,66.132179,3354500
2024-01-19,68.199997,69.040001,67.739998,68.889999,67.274742,4441900
2024-01-22,68.900002,70.050003,68.690002,69.500000,67.870445,4297000
2024-01-23,69.629997,70.080002,69.190002,69.459999,67.831383,3031100
2024-01-24,69.930000,70.190002,69.610001,69.680000,68.046227,4346200
2024-01-25,70.260002,70.419998,69.639999,70.389999,68.739578,3345100
2024-01-26,70.669998,70.879997,70.519997,70.879997,69.218086,3397300
2024-01-29,70.620003,70.889999,69.900002,70.360001,68.710281,3762100
2024-01-30,70.250000,70.910004,70.070000,70.809998,69.149727,3672200
2024-01-31,70.830002,71.000000,69.260002,69.320000,67.694664,6252800
2024-02-01,66.150002,67.290001,64.860001,65.349998,63.817753,9465700
2024-02-02,65.599998,66.339996,64.760002,65.949997,64.403679,4792900
2024-02-05,64.830002,66.190002,64.610001,65.809998,64.777718,5283500
2024-02-06,65.779999,66.419998,65.660004,65.959999,64.925369,3739300
2024-02-07,66.269997,67.430000,66.019997,67.000000,65.949059,4684400
2024-02-08,66.800003,66.940002,66.180000,66.750000,65.702980,3321900
2024-02-09,66.510002,67.669998,66.400002,67.500000,66.441208,5121300
2024-02-12,67.750000,69.230003,67.589996,68.550003,67.474747,5088400
2024-02-13,67.910004,68.709999,67.040001,67.839996,66.775879,5071000
